0.4,0,9.4254435,6.1154961,0.9385606,0.1935079
0.4,1,11.715172,7.3858928,0.927708,-0.0314026
0.4,2,6.3608184,4.0117943,0.6958927,1.0200782
0.4,3,2.4572,6.3170266,0.4603924,0.2796795
0.4,4,12.9598132,6.64025,-1.8010956,0.2524286
0.4,5,13.8816966,5.646009,-0.6013289,0.2130891
0.4,6,13.2873833,2.5457045,-0.9295542,0.3977663
0.4,7,13.7338861,3.2981245,-0.8656226,0.2502079
0.4,8,14.2853386,8.0786342,-0.1710029,0.566817
0.4,9,1.3439899,8.2951328,0.676495,0.0340943
0.4,10,1.0469141,7.8919407,0.4073518,-0.0192468
0.4,11,0.6694994,7.9212324,0.4635243,0.1136475
0.4,12,0.3940823,7.4253665,0.458993,0.1269467
0.4,13,11.4914144,9.5194131,0.1052326,0.0518826
0.4,14,11.020408,9.2279046,0.4535886,-0.0205741
0.4,15,10.4320734,9.4827494,0.508624,-0.0994416
0.4,20,9.8317468,1.561517,0.1127492,0.0852356
0.4,21,9.3734709,0.5966495,0.1246175,0.2983247
0.4,24,10.9886367,12.6516212,0.0129453,-0.6160643
0.4,212,4.2614807,11.5656614,-0.3431496,0.7522972
0.4,213,3.8186461,11.4720783,-0.3452943,0.5780042
0.4,214,4.6021901,10.472826,-0.1753876,0.7051312
0.4,215,4.1940154,10.3035945,-0.1434989,0.7593721
0.4,216,7.7076626,4.719061,0.0641662,0.0436573
0.4,217,3.6055502,3.7439756,-0.2466388,0.1118718
0.4,218,7.2981478,3.2779734,-0.0125277,0.0805003
0.4,219,8.1838744,4.1581881,-0.0607111,0.0137688
0.4,272,14.950796,7.7007562,-0.1384639,0.3977663
0.4,408,11.2294216,4.3946322,-0.1814354,-0.3497601
0.5,0,9.5192995,6.1348469,0.9385606,0.1935079
0.5,1,11.8079428,7.3827525,0.927708,-0.0314026
0.5,2,6.4304077,4.1138021,0.6958927,1.0200782
0.5,3,2.5032392,6.3449945,0.4603924,0.2796795
0.5,4,12.7797037,6.6654928,-1.8010956,0.2524286
0.5,5,13.8215637,5.6673179,-0.6013289,0.2130891
0.5,6,13.1944278,2.5854812,-0.9295542,0.3977663
0.5,7,13.6473238,3.3231452,-0.8656226,0.2502079
0.5,8,14.2682383,8.1353159,-0.1710029,0.566817
0.5,9,1.4116394,8.2985422,0.676495,0.0340943
0.5,10,1.0876493,7.890016,0.4073518,-0.0192468
0.5,11,0.7158518,7.9325972,0.4635243,0.1136475
0.5,12,0.4399816,7.4380612,0.458993,0.1269467
0.5,13,11.5019377,9.5246013,0.1052326,0.0518826
0.5,14,11.0657669,9.2258472,0.4535886,-0.0205741
